GAME_ID,G_home,W_PCT_home,HOME_RECORD_home,ROAD_RECORD_home,W_PCT_prev_home,HOME_RECORD_prev_home,ROAD_RECORD_prev_home,G_away,W_PCT_away,HOME_RECORD_away,ROAD_RECORD_away,W_PCT_prev_away,HOME_RECORD_prev_away,ROAD_RECORD_prev_away,WIN_PRCT_home_3g,PTS_home_3g,FG_PCT_home_3g,FT_PCT_home_3g,FG3_PCT_home_3g,AST_home_3g,REB_home_3g,WIN_PRCT_away_3g,PTS_away_3g,FG_PCT_away_3g,FT_PCT_away_3g,FG3_PCT_away_3g,AST_away_3g,REB_away_3g,WIN_PRCT_home_5g,PTS_home_5g,FG_PCT_home_5g,FT_PCT_home_5g,FG3_PCT_home_5g,AST_home_5g,REB_home_5g,WIN_PRCT_away_5g,PTS_away_5g,FG_PCT_away_5g,FT_PCT_away_5g,FG3_PCT_away_5g,AST_away_5g,REB_away_5g,GAME_DATE_EST_x,SEASON_x,HOME_TEAM_WINS_x,GAME_DATE_EST_y,SEASON_y,HOME_TEAM_WINS_y
41800225,82,0.695,0.7317073170731707,0.6585365853658537,0.7070000000000001,0.7073170731707317,0.7073170731707317,82,0.6459999999999999,0.7560975609756098,0.5365853658536586,0.7929999999999999,0.8292682926829268,0.7560975609756098,0.3333333333333333,114.66666666666667,0.457,0.774,0.324,25.0,41.0,0.6666666666666666,115.66666666666667,0.4633333333333333,0.7333333333333334,0.39799999999999996,18.333333333333332,48.666666666666664,0.6,115.4,0.4812,0.7811999999999999,0.32459999999999994,26.2,41.4,0.6,109.4,0.45059999999999995,0.742,0.36860000000000004,17.2,43.6,2019-05-08,2018,1,2019-05-08,2018,1
41800226,82,0.6459999999999999,0.7560975609756098,0.5365853658536586,0.7929999999999999,0.8292682926829268,0.7560975609756098,82,0.695,0.7317073170731707,0.6585365853658537,0.7070000000000001,0.7073170731707317,0.7073170731707317,0.6666666666666666,112.33333333333333,0.4466666666666666,0.7583333333333333,0.35400000000000004,19.0,48.0,0.3333333333333333,111.0,0.45599999999999996,0.737,0.33899999999999997,26.333333333333332,40.0,0.4,109.2,0.44539999999999996,0.7806000000000001,0.357,17.6,42.2,0.6,110.4,0.46740000000000004,0.7644,0.3282,25.4,40.6,2019-05-10,2018,0,2019-05-10,2018,0
41800231,82,0.659,0.8292682926829268,0.4878048780487805,0.561,0.7560975609756098,0.36585365853658536,82,0.6459999999999999,0.7804878048780488,0.5121951219512195,0.598,0.6829268292682927,0.5121951219512195,0.6666666666666666,100.33333333333333,0.45199999999999996,0.7776666666666667,0.25799999999999995,24.0,46.333333333333336,0.6666666666666666,112.33333333333333,0.45,0.7863333333333333,0.39566666666666667,18.666666666666668,45.0,0.6,105.2,0.4648,0.7558,0.355,25.6,44.2,0.8,111.0,0.44719999999999993,0.7894,0.4066000000000001,17.4,45.4,2019-04-29,2018,1,2019-04-29,2018,1
41800232,82,0.659,0.8292682926829268,0.4878048780487805,0.561,0.7560975609756098,0.36585365853658536,82,0.6459999999999999,0.7804878048780488,0.5121951219512195,0.598,0.6829268292682927,0.5121951219512195,0.6666666666666666,104.66666666666667,0.45399999999999996,0.8013333333333333,0.25466666666666665,23.0,41.333333333333336,0.6666666666666666,114.0,0.4663333333333333,0.7833333333333333,0.393,19.333333333333332,44.666666666666664,0.8,107.8,0.4622,0.8242,0.3344,23.8,43.6,0.6,112.8,0.46720000000000006,0.782,0.3944,18.6,43.8,2019-05-01,2018,0,2019-05-01,2018,0
41800233,82,0.6459999999999999,0.7804878048780488,0.5121951219512195,0.598,0.6829268292682927,0.5121951219512195,82,0.659,0.8292682926829268,0.4878048780487805,0.561,0.7560975609756098,0.36585365853658536,0.6666666666666666,109.33333333333333,0.4706666666666666,0.731,0.35333333333333333,20.0,44.0,0.6666666666666666,100.33333333333333,0.417,0.7563333333333334,0.24033333333333332,21.0,48.333333333333336,0.6,109.4,0.4586,0.78,0.37520000000000003,18.8,44.4,0.6,102.4,0.4417999999999999,0.7638,0.279,22.8,46.2,2019-05-03,2018,1,2019-05-03,2018,1
41800234,82,0.6459999999999999,0.7804878048780488,0.5121951219512195,0.598,0.6829268292682927,0.5121951219512195,82,0.659,0.8292682926829268,0.4878048780487805,0.561,0.7560975609756098,0.36585365853658536,0.6666666666666666,116.66666666666667,0.454,0.7993333333333332,0.325,20.333333333333332,49.666666666666664,0.3333333333333333,116.0,0.43566666666666665,0.7286666666666667,0.326,23.333333333333332,52.666666666666664,0.8,115.8,0.4484,0.8014000000000001,0.35500000000000004,19.8,48.6,0.4,108.2,0.4326,0.7438,0.26559999999999995,23.4,49.6,2019-05-05,2018,0,2019-05-05,2018,0
41800235,82,0.659,0.8292682926829268,0.4878048780487805,0.561,0.7560975609756098,0.36585365853658536,82,0.6459999999999999,0.7804878048780488,0.5121951219512195,0.598,0.6829268292682927,0.5121951219512195,0.3333333333333333,114.33333333333333,0.412,0.7360000000000001,0.33466666666666667,23.0,56.333333333333336,0.6666666666666666,116.33333333333333,0.43966666666666665,0.8143333333333334,0.3416666666666666,19.666666666666668,50.666666666666664,0.6,110.8,0.42799999999999994,0.7724,0.3036,22.4,51.2,0.6,116.0,0.4614,0.7672,0.35500000000000004,20.2,47.4,2019-05-07,2018,1,2019-05-07,2018,1
41800236,82,0.6459999999999999,0.7804878048780488,0.5121951219512195,0.598,0.6829268292682927,0.5121951219512195,82,0.659,0.8292682926829268,0.4878048780487805,0.561,0.7560975609756098,0.36585365853658536,0.3333333333333333,116.66666666666667,0.4206666666666667,0.7253333333333333,0.3283333333333333,20.0,49.333333333333336,0.6666666666666666,125.66666666666667,0.461,0.832,0.37666666666666665,25.0,57.666666666666664,0.4,112.0,0.441,0.7434,0.33480000000000004,19.6,47.0,0.6,117.6,0.44719999999999993,0.7964,0.35019999999999996,23.4,53.0,2019-05-09,2018,1,2019-05-09,2018,1
41800237,82,0.659,0.8292682926829268,0.4878048780487805,0.561,0.7560975609756098,0.36585365853658536,82,0.6459999999999999,0.7804878048780488,0.5121951219512195,0.598,0.6829268292682927,0.5121951219512195,0.6666666666666666,116.0,0.4376666666666667,0.9113333333333333,0.38266666666666665,23.0,50.333333333333336,0.3333333333333333,109.66666666666667,0.4346666666666667,0.684,0.3846666666666667,18.333333333333332,43.0,0.4,115.0,0.42279999999999995,0.8098000000000001,0.3424,23.4,55.0,0.6,113.2,0.42939999999999995,0.7418,0.35,19.2,47.6,2019-05-12,2018,0,2019-05-12,2018,0
41800301,82,0.732,0.8048780487804879,0.6585365853658537,0.537,0.6097560975609756,0.4634146341463415,82,0.7070000000000001,0.7804878048780488,0.6341463414634146,0.72,0.8292682926829268,0.6097560975609756,1.0,117.33333333333333,0.4643333333333333,0.7066666666666667,0.3133333333333333,25.0,52.666666666666664,0.6666666666666666,106.0,0.434,0.8443333333333333,0.29433333333333334,20.666666666666668,41.666666666666664,0.8,113.0,0.43679999999999997,0.7102,0.3398,23.2,51.0,0.6,102.8,0.437,0.8248,0.293,19.2,40.6,2019-05-15,2018,1,2019-05-15,2018,1
